uid,location,year,irrigated,non_irrigated,pasture,value,dataitem
6fff,6,2012,f,f,f,267,"RENT, CASH, CROPLAND - EXPENSE, MEASURED IN $ / ACRE"
6tff,6,2012,t,f,f,340,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
6ftf,6,2012,f,t,f,40,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
16fff,16,2012,f,f,f,143,"RENT, CASH, CROPLAND - EXPENSE, MEASURED IN $ / ACRE"
16tff,16,2012,t,f,f,181,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
16ftf,16,2012,f,t,f,52,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
30fff,30,2012,f,f,f,29.5,"RENT, CASH, CROPLAND - EXPENSE, MEASURED IN $ / ACRE"
30tff,30,2012,t,f,f,80,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
30ftf,30,2012,f,t,f,23,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
41fff,41,2012,f,f,f,130,"RENT, CASH, CROPLAND - EXPENSE, MEASURED IN $ / ACRE"
41tff,41,2012,t,f,f,195,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
41ftf,41,2012,f,t,f,80,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
53fff,53,2012,f,f,f,215,"RENT, CASH, CROPLAND - EXPENSE, MEASURED IN $ / ACRE"
53tff,53,2012,t,f,f,330,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
53ftf,53,2012,f,t,f,66,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
