pid,x,y,north,east,acres
9742,3,87,-118784,-372736,42.6020
9854,3,88,-126976,-372736,408.7751
13326,3,119,-380928,-372736,327.9207
13438,3,120,-389120,-372736,152.0315
9405,4,84,-94208,-364544,146.3844
9517,4,85,-102400,-364544,156.0909
9629,4,86,-110592,-364544,675.0776
9741,4,87,-118784,-364544,1796.2901
9853,4,88,-126976,-364544,734.7318
10301,4,92,-159744,-364544,204.2049
10637,4,95,-184320,-364544,247.3865
12989,4,116,-356352,-364544,57.5893
13101,4,117,-364544,-364544,103.3590
13213,4,118,-372736,-364544,33.7537
13325,4,119,-380928,-364544,302.4795
13437,4,120,-389120,-364544,41.3491
13549,4,121,-397312,-364544,467.1745
13661,4,122,-405504,-364544,24.1196
9068,5,81,-69632,-356352,134.5744
9180,5,82,-77824,-356352,1162.4334
9292,5,83,-86016,-356352,934.0377
9404,5,84,-94208,-356352,2054.5272
9516,5,85,-102400,-356352,780.2506
9628,5,86,-110592,-356352,117.8649
9740,5,87,-118784,-356352,16.6546
10076,5,90,-143360,-356352,13.8107
10188,5,91,-151552,-356352,109.3068
10300,5,92,-159744,-356352,162.7145
10524,5,94,-176128,-356352,9.4242
10636,5,95,-184320,-356352,45.8823
10860,5,97,-200704,-356352,31.6746
11308,5,101,-233472,-356352,42.6984
11420,5,102,-241664,-356352,30.7642
12876,5,115,-348160,-356352,17.8128
12988,5,116,-356352,-356352,59.7804
13100,5,117,-364544,-356352,517.0982
13212,5,118,-372736,-356352,349.9848
13324,5,119,-380928,-356352,32.7946
13436,5,120,-389120,-356352,87.7772
13660,5,122,-405504,-356352,342.4364
13772,5,123,-413696,-356352,84.8162
1451,6,13,487424,-348160,78.7248
1563,6,14,479232,-348160,1008.3065
1675,6,15,471040,-348160,1571.2371
1787,6,16,462848,-348160,66.1415
1899,6,17,454656,-348160,182.8562
8955,6,80,-61440,-348160,1307.8110
9067,6,81,-69632,-348160,247.2965
9179,6,82,-77824,-348160,1242.6209
9291,6,83,-86016,-348160,1101.8680
9403,6,84,-94208,-348160,51.9672
9515,6,85,-102400,-348160,27.9189
9627,6,86,-110592,-348160,31.7474
9739,6,87,-118784,-348160,66.5722
9851,6,88,-126976,-348160,190.8945
10859,6,97,-200704,-348160,107.4643
10971,6,98,-208896,-348160,403.1618
11083,6,99,-217088,-348160,420.6870
11195,6,100,-225280,-348160,4449.2392
11307,6,101,-233472,-348160,857.0336
11419,6,102,-241664,-348160,467.0750
12651,6,113,-331776,-348160,68.1956
12763,6,114,-339968,-348160,58.1061
12875,6,115,-348160,-348160,273.4669
13211,6,118,-372736,-348160,217.1854
13323,6,119,-380928,-348160,215.4551
13659,6,122,-405504,-348160,95.3112
13771,6,123,-413696,-348160,51.2241
1338,7,12,495616,-339968,81.0309
1450,7,13,487424,-339968,88.7911
1562,7,14,479232,-339968,41.5278
1674,7,15,471040,-339968,1767.0134
2010,7,18,446464,-339968,1354.0909
8506,7,76,-28672,-339968,14.8896
8618,7,77,-36864,-339968,7.7076
8730,7,78,-45056,-339968,12.5684
8842,7,79,-53248,-339968,86.8480
8954,7,80,-61440,-339968,89.2892
9066,7,81,-69632,-339968,153.4645
9178,7,82,-77824,-339968,455.0801
9290,7,83,-86016,-339968,1357.8442
9402,7,84,-94208,-339968,2552.9207
9514,7,85,-102400,-339968,1955.7192
9626,7,86,-110592,-339968,23.0151
9738,7,87,-118784,-339968,183.2348
9850,7,88,-126976,-339968,250.7854
10746,7,96,-192512,-339968,33.3872
11194,7,100,-225280,-339968,1407.4776
11306,7,101,-233472,-339968,228.0611
11418,7,102,-241664,-339968,12.3797
11642,7,104,-258048,-339968,47.1617
11754,7,105,-266240,-339968,75.6122
12090,7,108,-290816,-339968,699.4232
12202,7,109,-299008,-339968,88.3858
12538,7,112,-323584,-339968,18.4710
12650,7,113,-331776,-339968,63.4947
12762,7,114,-339968,-339968,93.6516
13210,7,118,-372736,-339968,84.6555
1449,8,13,487424,-331776,524.0191
1561,8,14,479232,-331776,91.8410
1673,8,15,471040,-331776,3133.2266
1785,8,16,462848,-331776,720.5436
1897,8,17,454656,-331776,1757.2128
2009,8,18,446464,-331776,3138.1068
2121,8,19,438272,-331776,50.1139
2233,8,20,430080,-331776,2.5460
2345,8,21,421888,-331776,226.6988
8057,8,72,4096,-331776,9.0534
8169,8,73,-4096,-331776,58.8220
8281,8,74,-12288,-331776,275.1975
8393,8,75,-20480,-331776,185.5821
8505,8,76,-28672,-331776,18.5256
8617,8,77,-36864,-331776,36.2142
8729,8,78,-45056,-331776,16.2352
8841,8,79,-53248,-331776,1.7890
8953,8,80,-61440,-331776,675.1633
9065,8,81,-69632,-331776,78.8168
9177,8,82,-77824,-331776,907.0421
9289,8,83,-86016,-331776,1170.1373
9401,8,84,-94208,-331776,961.6748
9513,8,85,-102400,-331776,325.3136
9625,8,86,-110592,-331776,1238.9304
9737,8,87,-118784,-331776,312.3351
12313,8,110,-307200,-331776,29.1777
12649,8,113,-331776,-331776,126.9951
12761,8,114,-339968,-331776,113.4486
12985,8,116,-356352,-331776,13.0440
13097,8,117,-364544,-331776,31.8327
13209,8,118,-372736,-331776,1.9757
13321,8,119,-380928,-331776,74.0927
13433,8,120,-389120,-331776,409.6247
13545,8,121,-397312,-331776,18.8639
13769,8,123,-413696,-331776,31.9451
1448,9,13,487424,-323584,96.2561
1560,9,14,479232,-323584,413.8338
1672,9,15,471040,-323584,344.7940
1784,9,16,462848,-323584,904.9030
1896,9,17,454656,-323584,1397.5257
2008,9,18,446464,-323584,474.4923
2120,9,19,438272,-323584,358.4105
2232,9,20,430080,-323584,500.0415
2344,9,21,421888,-323584,369.1607
2568,9,23,405504,-323584,106.7234
6824,9,61,94208,-323584,224.5239
6936,9,62,86016,-323584,163.5054
7048,9,63,77824,-323584,33.0188
7160,9,64,69632,-323584,422.2694
7272,9,65,61440,-323584,712.3669
7384,9,66,53248,-323584,190.8950
7496,9,67,45056,-323584,9.8388
7608,9,68,36864,-323584,57.2557
7944,9,71,12288,-323584,93.5889
8056,9,72,4096,-323584,277.0554
8168,9,73,-4096,-323584,466.3708
8280,9,74,-12288,-323584,10.5783
8392,9,75,-20480,-323584,67.2819
8840,9,79,-53248,-323584,40.4235
8952,9,80,-61440,-323584,49.3033
9064,9,81,-69632,-323584,14.5176
9176,9,82,-77824,-323584,168.5926
9288,9,83,-86016,-323584,801.4750
9400,9,84,-94208,-323584,42.7950
9512,9,85,-102400,-323584,207.1567
9624,9,86,-110592,-323584,69.6502
11528,9,103,-249856,-323584,22.3739
12424,9,111,-315392,-323584,19.8263
12760,9,114,-339968,-323584,33.8785
12872,9,115,-348160,-323584,321.1404
13096,9,117,-364544,-323584,73.6661
13208,9,118,-372736,-323584,183.7486
13320,9,119,-380928,-323584,249.9058
13432,9,120,-389120,-323584,0.8585
13992,9,125,-430080,-323584,241.2247
15448,9,138,-536576,-323584,31.1266
15672,9,140,-552960,-323584,128.4225
1559,10,14,479232,-315392,943.5495
1671,10,15,471040,-315392,1981.8480
1783,10,16,462848,-315392,363.8814
1895,10,17,454656,-315392,19.2676
2231,10,20,430080,-315392,329.5607
2455,10,22,413696,-315392,101.8498
3015,10,27,372736,-315392,5.4134
3127,10,28,364544,-315392,975.2462
3239,10,29,356352,-315392,930.9688
3351,10,30,348160,-315392,850.4253
3687,10,33,323584,-315392,53.4215
6263,10,56,135168,-315392,0.8829
6487,10,58,118784,-315392,50.0656
6599,10,59,110592,-315392,66.9562
6711,10,60,102400,-315392,390.3705
6823,10,61,94208,-315392,1547.2953
6935,10,62,86016,-315392,699.6271
7047,10,63,77824,-315392,11.1089
7159,10,64,69632,-315392,66.7107
7271,10,65,61440,-315392,83.7775
7383,10,66,53248,-315392,36.4590
7495,10,67,45056,-315392,28.0318
7607,10,68,36864,-315392,4.6049
7943,10,71,12288,-315392,0.2211
9287,10,83,-86016,-315392,322.5072
9399,10,84,-94208,-315392,15.9300
9623,10,86,-110592,-315392,0.5901
13095,10,117,-364544,-315392,0.5742
13207,10,118,-372736,-315392,150.1847
13319,10,119,-380928,-315392,75.7579
13431,10,120,-389120,-315392,98.0334
13543,10,121,-397312,-315392,26.8601
1558,11,14,479232,-307200,171.6040
1670,11,15,471040,-307200,1729.2133
2230,11,20,430080,-307200,115.7440
3014,11,27,372736,-307200,0.4525
3126,11,28,364544,-307200,1494.3065
3238,11,29,356352,-307200,2981.6502
3350,11,30,348160,-307200,523.1741
